"","box","JID","Start_day","First_broken","Repaired","Time_Out"
"1","Z20","J640",2022-03-28,2022-03-28,2022-04-16,19
"2","Z19","J1337",2022-03-28,2022-03-28,2022-04-11,14
"3","Y26","J2952",2022-03-28,2022-03-28,2022-04-18,21
"4","Z30","J1973",2022-03-28,2022-03-28,2022-05-19,52
"5","Z32","J1916",2022-03-28,2022-03-28,2022-05-19,52
"6","Y10","J104",2022-03-28,2022-03-28,2022-05-30,63
"7","Z39","J1345",2022-03-28,2022-03-28,2022-05-31,64
"8","Y24","J494",2022-03-28,2022-03-28,2022-06-01,65
"9","Z11","J595",2022-03-28,2022-03-28,2022-03-30,2
"10","Y17","J2980",2022-03-28,2022-03-28,2022-04-01,4
"11","Z02","J2943",2022-03-28,2022-04-01,2022-04-01,0
"12","Z20","J3383",2022-03-28,2022-03-28,2022-04-12,15
"13","Z21","J1783",2022-03-28,2022-03-28,2022-05-19,52
"14","Y03","J3283",2022-03-28,2022-03-28,2022-04-16,19
"15","Y30","J3625",2022-03-28,2022-03-28,2022-04-10,13
"16","Y16","J1911",2022-03-28,2022-03-28,2022-04-05,8
"17","Y14","J1325",2022-03-28,2022-06-07,2022-06-14,7
